time,down,up,rnti_count,mcs_down,mcs_down_var,mcs_up,mcs_up_var,rb_down,rb_down_var,rb_up,rb_up_var,District
2018-03-28 15:56:00,174876888.0,1856888.0,10229,15.3322981454492,87.15768837702974,14.981496960486323,49.98948412698413,0.0296811666666666,4.497697614787348e-08,0.0005406666666666,3.143297486772487e-08,ElBorn
2018-03-28 15:58:00,209054184.0,2866200.0,12223,15.116845640448696,87.19216817421469,16.4326124945391,62.49467016164264,0.0359714166666666,4.6155349890615116e-08,0.0008523333333333,4.439639781746032e-08,ElBorn
2018-03-28 16:00:00,191464640.0,1935360.0,11152,15.21573915815136,87.22795521584536,15.885238095238096,63.087006802721085,0.0327498333333333,4.646103690757475e-08,0.0006073333333333,2.9935954365079376e-08,ElBorn
2018-03-28 16:02:00,241515688.0,2991152.0,14040,15.135399916063156,86.19950120688374,15.714660077867624,77.18745882000599,0.0413718333333333,4.5321529821617875e-08,0.0009254166666666,5.382562896825397e-08,ElBorn
2018-03-28 16:04:00,264131088.0,3288816.0,15247,15.18894380446886,86.15111909425433,15.414080086580086,69.11856060606061,0.0450738333333333,4.6555426053488575e-08,0.00102075,5.9221777777777784e-08,ElBorn
2018-03-28 16:06:00,240364288.0,2857792.0,14032,15.329625745541325,87.16637554492281,16.129249311294764,73.75906434474616,0.0409814166666666,4.6490739061148985e-08,0.0008820833333333,4.272734550865801e-08,ElBorn
2018-03-28 16:08:00,209567808.0,1892888.0,12261,15.011034459034564,88.63394666259191,14.133555555555557,57.31601587301588,0.0358289166666666,4.6230733472450384e-08,0.0006528333333333,3.2920061838624335e-08,ElBorn
2018-03-28 16:10:00,235478872.0,2317632.0,13744,15.0901509029203,86.31189427559823,15.414675122385404,65.58465732087228,0.0403420833333333,4.636574941269703e-08,0.00071625,4.1819500992063496e-08,ElBorn
2018-03-28 16:12:00,211470032.0,2305304.0,12271,15.094138301493077,87.38631141581101,15.378388577653284,63.93788126361656,0.0361066666666666,4.6064594351549966e-08,0.0007578333333333,3.441218088624338e-08,ElBorn
2018-03-28 16:14:00,209997304.0,2193936.0,12303,15.146158895537717,86.9582235869834,14.84233193277311,56.13314270152505,0.03607775,4.711435054790142e-08,0.0006973333333333,3.6680870039682535e-08,ElBorn
